epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,777.544,2.76764,1.48696,0.00148,0.53584,0.33482,0.34667,0.09479,2.88063,2.2776,0.00233,0.0287328,0.0095776,0.0287328,0.0095776,0.0287328,0.0095776,0.0287328,0.0095776
66,789.259,2.68888,1.48391,0.0014,0.4422,0.37162,0.32026,0.08182,2.92236,2.03739,0.00243,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
67,800.889,2.76584,1.55886,0.00146,0.47097,0.43304,0.37822,0.10736,2.63308,1.99145,0.00206,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
68,812.518,2.74472,1.48516,0.00145,0.50733,0.41071,0.37159,0.09898,2.87076,2.01343,0.00227,0.0286734,0.0095578,0.0286734,0.0095578,0.0286734,0.0095578,0.0286734,0.0095578
69,824.147,2.66181,1.47371,0.00139,0.42802,0.4375,0.32478,0.09125,2.91583,1.9121,0.00233,0.0286536,0.0095512,0.0286536,0.0095512,0.0286536,0.0095512,0.0286536,0.0095512
70,835.819,2.76275,1.45734,0.00149,0.56623,0.4375,0.41419,0.10784,2.86753,1.99079,0.00234,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
71,847.555,2.62608,1.42835,0.00138,0.53322,0.44196,0.38017,0.11399,2.76184,1.90802,0.00223,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
72,859.211,2.69733,1.51183,0.00137,0.58826,0.42096,0.41148,0.1122,2.76703,2.13614,0.00222,0.0285942,0.0095314,0.0285942,0.0095314,0.0285942,0.0095314,0.0285942,0.0095314
73,870.843,2.66292,1.43579,0.00141,0.51552,0.44643,0.39945,0.11353,2.77388,1.82616,0.00219,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
74,882.491,2.7457,1.46703,0.00145,0.3936,0.33482,0.25296,0.06803,2.9523,2.2582,0.00249,0.0285546,0.0095182,0.0285546,0.0095182,0.0285546,0.0095182,0.0285546,0.0095182
75,894.223,2.75894,1.51709,0.0015,0.52485,0.40179,0.34472,0.09982,2.90348,2.05227,0.00236,0.0285348,0.0095116,0.0285348,0.0095116,0.0285348,0.0095116,0.0285348,0.0095116
76,905.857,2.73028,1.38663,0.00151,0.50797,0.44643,0.3731,0.11166,2.9106,1.95442,0.00233,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
77,917.511,2.68979,1.39179,0.00145,0.47017,0.35655,0.33553,0.0922,2.89687,2.21765,0.00232,0.0284952,0.0094984,0.0284952,0.0094984,0.0284952,0.0094984,0.0284952,0.0094984
78,929.146,2.71072,1.45863,0.00142,0.3928,0.37946,0.27547,0.07789,3.10686,2.27882,0.00247,0.0284754,0.0094918,0.0284754,0.0094918,0.0284754,0.0094918,0.0284754,0.0094918
79,940.905,2.77392,1.52857,0.00146,0.28652,0.1875,0.15066,0.05111,3.39622,3.27758,0.00284,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
80,952.545,2.65522,1.47337,0.00141,0.45978,0.4375,0.35159,0.10899,2.74691,2.08443,0.00217,0.0284358,0.0094786,0.0284358,0.0094786,0.0284358,0.0094786,0.0284358,0.0094786
81,964.177,2.6944,1.41444,0.00144,0.37839,0.34375,0.26657,0.0776,2.89495,2.04835,0.00234,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
82,975.823,2.77717,1.45446,0.00145,0.37718,0.41071,0.2707,0.07228,3.03192,1.89811,0.00254,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
83,987.554,2.67215,1.42965,0.0014,0.38017,0.40525,0.29424,0.07783,2.89707,1.8511,0.00244,0.0283764,0.0094588,0.0283764,0.0094588,0.0283764,0.0094588,0.0283764,0.0094588
84,999.204,2.66202,1.47698,0.0014,0.46621,0.41518,0.35522,0.10519,2.88945,2.08587,0.00232,0.0283566,0.0094522,0.0283566,0.0094522,0.0283566,0.0094522,0.0283566,0.0094522
85,1010.85,2.71055,1.48362,0.00146,0.3672,0.375,0.28337,0.06916,3.07391,2.11153,0.00249,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
86,1022.56,2.65225,1.50504,0.00137,0.4507,0.32589,0.30565,0.0852,3.03984,2.39153,0.00243,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
87,1034.17,2.68649,1.47012,0.00138,0.47362,0.41518,0.32914,0.10129,3.20811,1.79434,0.00255,0.0282972,0.0094324,0.0282972,0.0094324,0.0282972,0.0094324,0.0282972,0.0094324
88,1045.81,2.66785,1.4767,0.00141,0.46868,0.36161,0.31262,0.09471,3.06888,2.02263,0.00243,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
89,1057.45,2.65966,1.46887,0.00138,0.46991,0.5,0.41091,0.11544,2.68681,1.89488,0.00215,0.0282576,0.0094192,0.0282576,0.0094192,0.0282576,0.0094192,0.0282576,0.0094192
90,1069.19,2.69217,1.41925,0.00138,0.49765,0.37054,0.34806,0.10616,3.07842,1.97896,0.00247,0.0282378,0.0094126,0.0282378,0.0094126,0.0282378,0.0094126,0.0282378,0.0094126
