epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,1138.19,2.73027,1.50078,0.00141,0.1124,0.12946,0.08778,0.02347,3.51111,4.12317,0.00382,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
57,1158.21,2.71892,1.46028,0.00144,0.57072,0.41964,0.38939,0.12126,2.73568,1.88828,0.00213,0.0288912,0.0096304,0.0288912,0.0096304,0.0288912,0.0096304,0.0288912,0.0096304
58,1178.16,2.75257,1.49095,0.00144,0.52677,0.41743,0.38207,0.12217,2.8429,2.20905,0.00228,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
59,1198.11,2.74073,1.36072,0.00144,0.54434,0.41964,0.39365,0.10332,2.91676,1.82966,0.00231,0.0288516,0.0096172,0.0288516,0.0096172,0.0288516,0.0096172,0.0288516,0.0096172
60,1218.08,2.75139,1.46009,0.00146,0.53746,0.49107,0.41483,0.1294,2.8981,1.76884,0.00234,0.0288318,0.0096106,0.0288318,0.0096106,0.0288318,0.0096106,0.0288318,0.0096106
61,1238.07,2.70364,1.44795,0.00139,0.26706,0.38393,0.26663,0.08895,2.92119,3.70907,0.00222,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
62,1258.1,2.72093,1.40602,0.00141,0.48099,0.33929,0.35187,0.11996,2.99744,2.54459,0.00231,0.0287922,0.0095974,0.0287922,0.0095974,0.0287922,0.0095974,0.0287922,0.0095974
63,1278.07,2.67231,1.40322,0.00135,0.56719,0.39783,0.39043,0.12763,2.81485,2.09546,0.00225,0.0287724,0.0095908,0.0287724,0.0095908,0.0287724,0.0095908,0.0287724,0.0095908
64,1298.09,2.6592,1.4762,0.00137,0.50581,0.41518,0.38859,0.11772,2.71432,2.0818,0.00221,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
65,1318.05,2.61688,1.48934,0.00133,0.51143,0.35268,0.37809,0.13211,2.77331,2.51871,0.0022,0.0287328,0.0095776,0.0287328,0.0095776,0.0287328,0.0095776,0.0287328,0.0095776
66,1338.05,2.61688,1.40994,0.00131,0.57072,0.45701,0.43478,0.12798,2.85074,1.8547,0.00224,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
67,1358.07,2.64989,1.43822,0.00137,0.45652,0.32589,0.30037,0.10915,2.89322,1.88937,0.00221,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
68,1378.03,2.55519,1.37315,0.00131,0.49056,0.38393,0.343,0.10383,2.92639,2.05797,0.00234,0.0286734,0.0095578,0.0286734,0.0095578,0.0286734,0.0095578,0.0286734,0.0095578
69,1397.99,2.6123,1.36562,0.00134,0.43614,0.29697,0.28548,0.09806,2.92518,2.30674,0.00233,0.0286536,0.0095512,0.0286536,0.0095512,0.0286536,0.0095512,0.0286536,0.0095512
70,1417.95,2.69504,1.44824,0.00139,0.5699,0.35714,0.3937,0.12702,3.05417,1.9932,0.00238,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
71,1437.95,2.61168,1.34169,0.00136,0.45218,0.31696,0.36983,0.13428,2.87315,3.12268,0.00225,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
72,1457.96,2.68215,1.38162,0.00135,0.56745,0.36607,0.38627,0.12392,2.88711,2.18833,0.00228,0.0285942,0.0095314,0.0285942,0.0095314,0.0285942,0.0095314,0.0285942,0.0095314
73,1477.93,2.63982,1.37345,0.00137,0.50187,0.4093,0.35433,0.11066,2.73291,1.67022,0.00218,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
74,1497.98,2.66797,1.36098,0.00139,0.44372,0.42857,0.3515,0.1033,2.78779,1.83503,0.00224,0.0285546,0.0095182,0.0285546,0.0095182,0.0285546,0.0095182,0.0285546,0.0095182
75,1517.94,2.58373,1.38003,0.00136,0.44057,0.41964,0.37826,0.12469,2.64763,2.48243,0.00208,0.0285348,0.0095116,0.0285348,0.0095116,0.0285348,0.0095116,0.0285348,0.0095116
76,1537.96,2.53771,1.30904,0.00135,0.52688,0.41264,0.36691,0.12382,2.81385,1.86373,0.00223,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
77,1558.03,2.54456,1.29874,0.00131,0.49271,0.43304,0.38651,0.12233,2.73787,1.82055,0.00214,0.0284952,0.0094984,0.0284952,0.0094984,0.0284952,0.0094984,0.0284952,0.0094984
78,1577.99,2.59717,1.32968,0.00134,0.42227,0.41518,0.34845,0.11015,2.84625,2.07205,0.00226,0.0284754,0.0094918,0.0284754,0.0094918,0.0284754,0.0094918,0.0284754,0.0094918
79,1598.02,2.58518,1.33833,0.00132,0.48976,0.375,0.33978,0.10247,2.74016,2.09527,0.00218,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
80,1618.14,2.56914,1.3278,0.00133,0.51427,0.41964,0.39594,0.12442,3.01314,1.99745,0.00237,0.0284358,0.0094786,0.0284358,0.0094786,0.0284358,0.0094786,0.0284358,0.0094786
81,1638.09,2.64988,1.35335,0.00141,0.50374,0.38972,0.3392,0.09925,3.02007,1.92117,0.00244,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
82,1658.05,2.68179,1.34229,0.00138,0.46808,0.42411,0.32664,0.10556,2.75472,1.73719,0.00228,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
83,1678.01,2.63572,1.32525,0.00134,0.65752,0.36607,0.38994,0.13167,2.77612,2.2167,0.00216,0.0283764,0.0094588,0.0283764,0.0094588,0.0283764,0.0094588,0.0283764,0.0094588
84,1697.96,2.56269,1.34349,0.00132,0.41229,0.35702,0.33209,0.10288,2.85285,2.41718,0.00244,0.0283566,0.0094522,0.0283566,0.0094522,0.0283566,0.0094522,0.0283566,0.0094522
