epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,53948.7,2.59075,1.57874,0.7668,0.46787,0.24286,0.24121,0.05932,2.28246,1.49192,0.65344,0.0080398,0.0080398,0.0080398
101,54487.2,2.58803,1.57335,0.76177,0.36082,0.26429,0.19461,0.05099,2.03625,1.33217,0.65296,0.00802,0.00802,0.00802
102,55025.1,2.47254,1.48075,0.7221,0.35721,0.27786,0.25352,0.06896,2.11425,1.21547,0.66313,0.0080002,0.0080002,0.0080002
103,55563.4,2.44605,1.52855,0.72084,0.43395,0.20714,0.19423,0.04616,2.20097,1.36407,0.65456,0.0079804,0.0079804,0.0079804
104,56102.5,2.51181,1.59705,0.73757,0.41405,0.26429,0.22904,0.06695,2.0378,1.26634,0.64137,0.0079606,0.0079606,0.0079606
105,56640,2.43183,1.49674,0.72012,0.42317,0.31429,0.26359,0.07872,2.03901,1.23009,0.64188,0.0079408,0.0079408,0.0079408
106,57178.1,2.55564,1.55541,0.74754,0.44151,0.2,0.1594,0.04894,2.15673,1.27678,0.63357,0.007921,0.007921,0.007921
107,57717.1,2.47779,1.70069,0.78462,0.36991,0.32143,0.22897,0.0666,1.98773,1.17495,0.63623,0.0079012,0.0079012,0.0079012
108,58255,2.5395,1.48834,0.75226,0.3675,0.29286,0.22123,0.054,2.32439,1.27723,0.6756,0.0078814,0.0078814,0.0078814
109,58793.2,2.62952,1.55283,0.76824,0.40758,0.29286,0.28109,0.07618,2.10149,1.19531,0.65381,0.0078616,0.0078616,0.0078616
110,59331.7,2.4091,1.5815,0.73445,0.3917,0.27857,0.24166,0.06322,2.04945,1.21433,0.65204,0.0078418,0.0078418,0.0078418
111,59884.8,2.39414,1.52305,0.73522,0.33296,0.25714,0.20015,0.05469,2.06747,1.32669,0.67058,0.007822,0.007822,0.007822
112,60436.6,2.47022,1.59372,0.75399,0.39501,0.3,0.26761,0.07347,2.01405,1.2471,0.65559,0.0078022,0.0078022,0.0078022
113,60979.4,2.45283,1.61217,0.73106,0.36475,0.23379,0.20255,0.05444,2.08445,1.25992,0.68199,0.0077824,0.0077824,0.0077824
114,61533.6,2.52335,1.50008,0.77983,0.39274,0.2587,0.23373,0.06129,2.24693,1.28778,0.65798,0.0077626,0.0077626,0.0077626
115,62084,2.40885,1.53723,0.75855,0.45239,0.28325,0.24415,0.06947,2.08511,1.21663,0.64366,0.0077428,0.0077428,0.0077428
